Gen	Fittest  	F0QLam	Perfor	BestPrf  	F0QLam	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
Gen	Fittest  	F0QLam	Perfor	BestPrf  	F0QLam	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
80 	     5741	0.5985	0.5985	     5741	0.5985	0.5985	0	0	4	1	0	75.3	0/22	0/44	1	40/45/52	276.630	0 09:34:22	76MB 	0.29409820795059205
81 	     5813	0.6130	0.6130	     5813	0.6130	0.6130	0	0	3	0	1	75.3	9/21	13/45	1	38/44/51	281.270	0 09:28:24	83MB 	0.33975706100463865
82 	     5879	0.6093	0.6093	     5879	0.6093	0.6093	0	0	3	0	0	75.3	13/20	14/46	0	32/43/48	281.740	0 09:22:41	93MB 	0.2728784430027008
83 	     5948	0.6133	0.6133	     5948	0.6133	0.6133	0	0	3	0	0	75.3	9/25	15/47	1	35/43/48	281.710	0 09:17:03	71MB 	0.32263777136802674
84 	     6014	0.6132	0.6132	     6014	0.6132	0.6132	0	0	3	0	0	75.3	12/24	16/48	0	40/44/48	281.663	0 09:11:31	99MB 	0.30504165291786195
85 	     6066	0.6259	0.6259	     6066	0.6259	0.6259	0	0	3	0	0	75.3	8/26	17/49	1	40/44/49	283.701	0 09:06:28	85MB 	0.3194207680225372
86 	     6059	0.5980	0.5980	     6059	0.5980	0.5980	0	0	3	0	0	75.3	7/26	18/50	0	40/44/49	290.090	0 09:02:39	28MB 	0.3379144811630249
87 	     6154	0.5943	0.5943	     6154	0.5943	0.5943	0	0	3	0	0	75.3	7/30	19/51	0	37/45/51	278.490	0 08:56:33	79MB 	0.22259434342384338
88 	     6221	0.5980	0.5980	     6221	0.5980	0.5980	0	0	3	0	0	75.3	11/25	20/52	0	29/44/50	280.377	0 08:50:58	36MB 	0.2656822447874108
89 	     6221	0.6060	0.6060	     6221	0.6060	0.6060	0	0	3	0	0	75.3	9/30	21/53	0	35/44/50	319.714	0 08:52:45	94MB 	0.30205840706825254
90 	     6293	0.6241	0.6241	     6293	0.6241	0.6241	0	0	3	0	0	75.3	7/33	22/54	0	38/45/51	331.662	0 08:55:57	52MB 	0.3262116471115424
91 	     6364	0.6063	0.6063	     6364	0.6063	0.6063	0	0	3	0	0	75.3	8/32	23/55	0	35/46/52	343.631	0 09:00:24	136MB 	0.25812497138977053
92 	     6464	0.5942	0.5942	     6464	0.5942	0.5942	0	0	3	0	0	75.3	9/28	24/56	0	41/48/54	342.142	0 09:03:29	75MB 	0.3089360558986664
93 	     6428	0.6039	0.6039	     6428	0.6039	0.6039	0	0	3	0	0	75.3	3/34	25/57	0	42/48/55	337.786	0 09:04:51	98MB 	0.2582582485675812
94 	     6464	0.5927	0.5927	     6464	0.5927	0.5927	0	0	3	0	0	75.3	5/30	26/58	0	41/47/54	345.641	0 09:06:51	154MB 	0.30497344613075256
95 	     6632	0.6007	0.6007	     6632	0.6007	0.6007	0	0	3	0	0	75.3	9/27	27/59	0	34/48/55	385.992	0 09:15:04	80MB 	0.289947940378773
96 	     6680	0.6185	0.6185	     6680	0.6185	0.6185	0	0	3	0	0	75.3	13/23	28/60	0	41/48/55	339.185	0 09:13:36	28MB 	0.37266412138938904
97 	     6752	0.6089	0.6089	     6752	0.6089	0.6089	0	0	3	0	0	75.3	9/29	29/61	0	27/47/56	356.143	0 09:14:35	262MB 	0.27494844794273376
98 	     6776	0.6164	0.6164	     6776	0.6164	0.6164	0	0	3	0	0	75.3	10/29	30/62	0	35/46/55	335.224	0 09:11:16	146MB 	0.3173975467681885
99 	     6838	0.6056	0.6056	     6838	0.6056	0.6056	0	0	3	0	0	75.3	5/36	31/63	0	32/47/55	314.306	0 09:04:11	240MB 	0.2735883414745331
Gen	Fittest  	F0QLam	Perfor	BestPrf  	F0QLam	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
100 	     6829	0.5945	0.5945	     6829	0.5945	0.5945	0	0	3	0	0	75.3	7/34	32/64	0	41/49/55	277.293	0 08:51:08	202MB 	0.257607992887497
101 	     6838	0.6004	0.6004	     6838	0.6004	0.6004	0	0	3	0	0	75.3	3/41	33/65	0	38/49/55	284.381	0 08:40:10	128MB 	0.2594645509914476
